epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1121,2.66552,6.4593,1.79344,0.19172,0.20513,0.07847,0.03278,2.33007,3.17238,1.65547,0.000541775,0.000541775,0.0680418
2,33.9629,2.2953,2.65309,1.60655,0.23665,0.15385,0.09279,0.03986,2.63161,3.97929,2.12873,0.00108658,0.00108658,0.0352532
3,51.1397,2.31938,2.61226,1.65186,0.20715,0.02564,0.01693,0.00759,3.65887,6.69548,4.33929,0.00162038,0.00162038,0.00245371
4,67.6018,2.24651,2.61012,1.62689,0.28178,0.08974,0.0474,0.01642,2.58316,6.59096,2.11466,0.00161749,0.00161749,0.00161749
5,84.4588,2.29675,2.74704,1.61174,0.20206,0.29487,0.14631,0.05086,2.30943,2.64275,1.78005,0.00160099,0.00160099,0.00160099
6,100.804,2.22807,2.42693,1.54069,0.24727,0.25641,0.14747,0.06158,2.31318,3.22719,1.71688,0.00158448,0.00158448,0.00158448
7,116.933,2.1579,2.42569,1.55145,0.22522,0.20513,0.13896,0.05678,2.26148,2.57744,1.69533,0.00156798,0.00156798,0.00156798
8,132.837,2.12467,2.32574,1.51506,0.18751,0.28205,0.1504,0.06186,2.24432,2.63099,1.62888,0.00155148,0.00155148,0.00155148
9,148.687,2.14048,2.29011,1.47517,0.21595,0.35897,0.15842,0.06353,2.23682,2.55645,1.68753,0.00153497,0.00153497,0.00153497
10,165.249,2.18524,2.39582,1.51566,0.07768,0.30769,0.05081,0.01872,2.40363,8.08369,1.76265,0.00151847,0.00151847,0.00151847
11,181.401,2.06699,2.27303,1.45661,0.24028,0.24359,0.17557,0.07486,2.18555,2.50535,1.65109,0.00150197,0.00150197,0.00150197
12,197.497,2.1085,2.3274,1.49223,0.22155,0.34529,0.13622,0.04919,2.41986,2.59206,1.71654,0.00148546,0.00148546,0.00148546
13,213.016,2.18774,2.29621,1.53527,0.17864,0.23077,0.15352,0.06208,2.4141,2.66034,1.72784,0.00146896,0.00146896,0.00146896
14,229.119,2.07969,2.25838,1.45326,0.22048,0.28205,0.19132,0.07589,2.24245,2.5121,1.6199,0.00145246,0.00145246,0.00145246
15,244.846,2.02072,2.23568,1.46221,0.22004,0.37179,0.19306,0.06242,2.22392,2.41218,1.62971,0.00143595,0.00143595,0.00143595
16,260.192,2.02615,2.24947,1.45333,0.22835,0.33333,0.176,0.08162,2.16409,2.3497,1.5975,0.00141945,0.00141945,0.00141945
17,276.072,2.1129,2.31636,1.47723,0.30039,0.38462,0.21107,0.07446,2.25208,2.26797,1.64467,0.00140295,0.00140295,0.00140295
18,291.838,2.05146,2.25511,1.45724,0.32008,0.34615,0.22175,0.08439,2.30202,2.32882,1.65513,0.00138644,0.00138644,0.00138644
19,307.657,2.01292,2.18134,1.40075,0.25856,0.26923,0.19746,0.07872,2.3963,2.33248,1.67358,0.00136994,0.00136994,0.00136994
20,323.46,2.04663,2.17242,1.46523,0.20987,0.25641,0.12891,0.05082,2.69663,2.80189,1.82828,0.00135344,0.00135344,0.00135344
21,339.286,2.11491,2.20598,1.51251,0.22745,0.31422,0.18557,0.06614,2.24445,2.49788,1.63982,0.00133693,0.00133693,0.00133693
22,355.032,1.99136,2.11231,1.45139,0.32247,0.33333,0.2177,0.07825,2.19562,2.36432,1.60606,0.00132043,0.00132043,0.00132043
23,370.637,2.04669,2.15442,1.47772,0.21633,0.41026,0.27889,0.10356,2.1401,2.39281,1.58451,0.00130393,0.00130393,0.00130393
24,386.609,2.06906,2.12849,1.46046,0.3415,0.34615,0.28372,0.09367,2.16254,2.28985,1.61951,0.00128742,0.00128742,0.00128742
25,402.377,2.02772,2.09734,1.42481,0.28814,0.36391,0.25674,0.1028,2.23335,2.27898,1.64178,0.00127092,0.00127092,0.00127092
26,418.296,2.08387,2.10759,1.45698,0.30941,0.30769,0.18514,0.05371,2.5429,2.5953,1.70062,0.00125442,0.00125442,0.00125442
27,434.267,1.9469,1.99576,1.40356,0.30807,0.41026,0.2809,0.10179,2.23537,2.15257,1.6796,0.00123791,0.00123791,0.00123791
28,449.66,1.9686,1.98917,1.41812,0.41314,0.29487,0.24389,0.10116,2.3473,2.49408,1.62894,0.00122141,0.00122141,0.00122141
29,465.819,1.99181,2.09579,1.39611,0.27309,0.38703,0.28638,0.10873,2.18389,2.2574,1.62063,0.00120491,0.00120491,0.00120491
30,482.18,2.00659,2.13934,1.44058,0.34444,0.38462,0.24325,0.09574,2.1403,2.28282,1.56632,0.0011884,0.0011884,0.0011884
31,498.389,1.9786,2.01588,1.40129,0.56456,0.32988,0.30483,0.12294,2.21292,2.23722,1.60729,0.0011719,0.0011719,0.0011719
32,515.397,2.03009,2.14323,1.44543,0.32976,0.29487,0.24728,0.10046,2.07505,2.1611,1.5319,0.0011554,0.0011554,0.0011554
33,531.623,1.89672,2.01646,1.35956,0.51853,0.30816,0.33306,0.1398,2.09234,2.15385,1.57864,0.00113889,0.00113889,0.00113889
34,548.001,1.88178,1.90599,1.39531,0.45373,0.33333,0.31853,0.12126,2.13179,2.1961,1.62584,0.00112239,0.00112239,0.00112239
35,563.842,1.98677,1.94121,1.39893,0.59678,0.30769,0.31836,0.12591,2.13765,2.21442,1.59138,0.00110589,0.00110589,0.00110589
36,579.303,1.89309,1.89915,1.38117,0.50101,0.32441,0.30108,0.10216,2.24864,2.3792,1.68504,0.00108938,0.00108938,0.00108938
37,595.284,1.97307,2.00167,1.42254,0.57063,0.38573,0.35358,0.12551,2.18604,2.2215,1.64039,0.00107288,0.00107288,0.00107288
38,610.885,1.92544,2.01891,1.39967,0.30522,0.32051,0.26256,0.09633,2.39166,2.24007,1.69604,0.00105638,0.00105638,0.00105638
39,626.322,1.94498,1.94678,1.43308,0.33147,0.44023,0.33828,0.13389,2.11703,2.04788,1.56303,0.00103987,0.00103987,0.00103987
40,641.787,1.87348,1.91278,1.37712,0.48258,0.39744,0.35889,0.13607,2.14668,2.08435,1.61489,0.00102337,0.00102337,0.00102337
41,658.028,1.90202,1.87775,1.37183,0.54525,0.37179,0.3482,0.13821,2.16761,2.19124,1.58356,0.00100687,0.00100687,0.00100687
42,673.418,1.86136,1.83337,1.36351,0.5167,0.34615,0.34816,0.13821,2.11204,2.17175,1.5582,0.000990365,0.000990365,0.000990365
43,688.86,1.91934,1.96511,1.39451,0.38751,0.34615,0.30392,0.12745,2.15102,2.1871,1.58386,0.000973861,0.000973861,0.000973861
44,704.919,1.84501,1.8349,1.36248,0.48765,0.37478,0.3216,0.13083,2.18436,2.18733,1.63961,0.000957358,0.000957358,0.000957358
45,720.635,1.84473,1.8122,1.37035,0.36904,0.44872,0.32716,0.12654,2.22775,2.11883,1.64119,0.000940855,0.000940855,0.000940855
46,736.765,1.81613,1.79689,1.35029,0.45538,0.37179,0.36349,0.14961,2.16618,2.08817,1.58128,0.000924352,0.000924352,0.000924352
47,752.243,1.8766,1.81285,1.39094,0.36008,0.38726,0.30634,0.11404,2.23858,2.11133,1.62046,0.000907848,0.000907848,0.000907848
48,768.04,1.86668,1.79613,1.37973,0.41657,0.38462,0.31184,0.11743,2.25578,2.13701,1.68406,0.000891345,0.000891345,0.000891345
49,783.723,1.91342,1.88385,1.43043,0.33143,0.39744,0.28362,0.11817,2.15368,2.09738,1.61718,0.000874842,0.000874842,0.000874842
50,799.356,1.79948,1.75964,1.34644,0.4027,0.39744,0.33404,0.13905,2.19918,2.05949,1.59061,0.000858338,0.000858338,0.000858338
51,814.819,1.79879,1.7853,1.37837,0.45464,0.38462,0.34852,0.13595,2.12227,2.06662,1.52704,0.000841835,0.000841835,0.000841835
52,830.551,1.87144,1.77097,1.36656,0.36908,0.32051,0.26739,0.1153,2.19674,2.16611,1.56439,0.000825332,0.000825332,0.000825332
53,846.364,1.77793,1.71854,1.32398,0.53717,0.35897,0.32351,0.12576,2.1545,2.07985,1.56363,0.000808828,0.000808828,0.000808828
54,862.339,1.84428,1.68871,1.33723,0.38124,0.38462,0.29803,0.11684,2.23731,2.15942,1.67606,0.000792325,0.000792325,0.000792325
55,877.794,1.77886,1.65932,1.3446,0.36565,0.48718,0.35544,0.15408,2.03677,2.09982,1.5164,0.000775822,0.000775822,0.000775822
56,893.878,1.77385,1.80238,1.31878,0.39488,0.39744,0.32448,0.13495,2.14727,2.13671,1.55022,0.000759318,0.000759318,0.000759318
57,909.171,1.80206,1.7374,1.33037,0.46811,0.41709,0.36111,0.13619,2.12386,2.07981,1.51708,0.000742815,0.000742815,0.000742815
58,924.745,1.76911,1.69667,1.29035,0.42317,0.42553,0.33628,0.13744,2.11336,2.16846,1.56085,0.000726312,0.000726312,0.000726312
59,940.628,1.74182,1.64559,1.3246,0.43117,0.32051,0.30857,0.12755,2.11752,2.07098,1.58144,0.000709809,0.000709809,0.000709809
60,956.185,1.75233,1.5989,1.29853,0.38635,0.44484,0.31484,0.12635,2.17268,2.15303,1.61151,0.000693305,0.000693305,0.000693305
61,971.727,1.76857,1.56696,1.31089,0.41217,0.46892,0.33718,0.12609,2.20327,2.07045,1.58991,0.000676802,0.000676802,0.000676802
62,987.469,1.74632,1.61205,1.31228,0.44201,0.35314,0.30741,0.12146,2.20158,2.08741,1.64425,0.000660299,0.000660299,0.000660299
63,1002.35,1.73168,1.58396,1.30329,0.4114,0.44872,0.36073,0.14532,2.16137,2.00167,1.56775,0.000643795,0.000643795,0.000643795
64,1018.41,1.74527,1.61836,1.34133,0.37484,0.47436,0.35869,0.13862,2.18381,1.97742,1.63254,0.000627292,0.000627292,0.000627292
65,1033.62,1.68808,1.52701,1.28087,0.37625,0.39744,0.33498,0.12872,2.30325,2.06392,1.72543,0.000610789,0.000610789,0.000610789
66,1049.34,1.706,1.48316,1.31078,0.41664,0.39744,0.33227,0.12505,2.17186,2.03695,1.66922,0.000594286,0.000594286,0.000594286
67,1065.03,1.7336,1.48004,1.30621,0.38746,0.35897,0.3385,0.12284,2.24383,1.99005,1.69084,0.000577782,0.000577782,0.000577782
68,1080.58,1.6619,1.5151,1.26519,0.42451,0.42308,0.36953,0.14225,2.18227,2.13687,1.64437,0.000561279,0.000561279,0.000561279
69,1096.22,1.67745,1.4958,1.2838,0.38901,0.3645,0.309,0.12177,2.2608,2.12426,1.67676,0.000544776,0.000544776,0.000544776
70,1112.3,1.64896,1.49997,1.25276,0.39147,0.41971,0.31389,0.12238,2.28368,2.02305,1.6813,0.000528272,0.000528272,0.000528272
