epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3267,2.42983,4.26089,1.64533,0.16312,0.28041,0.12965,0.0489,2.28557,3.44608,1.72117,0.000549129,0.000549129,0.067608
2,72.0649,2.28921,2.57824,1.58912,0.18845,0.28243,0.15136,0.06155,2.12606,2.99872,1.57141,0.00109386,0.00109386,0.0348193
3,106.903,2.26465,2.51549,1.56405,0.24014,0.25108,0.15584,0.06021,2.22693,2.73106,1.59331,0.00162759,0.00162759,0.00201974
4,140.821,2.23526,2.50425,1.54727,0.32985,0.29228,0.20522,0.07993,2.18213,2.54183,1.64176,0.00161749,0.00161749,0.00161749
5,176.35,2.19187,2.42629,1.51476,0.34157,0.38074,0.23524,0.09233,2.14467,2.44519,1.57735,0.00160099,0.00160099,0.00160099
6,210.989,2.20888,2.44662,1.56317,0.29613,0.31901,0.20914,0.08884,2.12141,2.39749,1.59198,0.00158448,0.00158448,0.00158448
7,244.471,2.16765,2.40672,1.51549,0.26954,0.30934,0.21148,0.08771,2.12632,2.5024,1.60773,0.00156798,0.00156798,0.00156798
8,278.392,2.14199,2.39462,1.49901,0.24894,0.33892,0.20024,0.08773,1.99464,2.52851,1.51232,0.00155148,0.00155148,0.00155148
9,312.031,2.1201,2.3488,1.48776,0.15998,0.14963,0.09322,0.03775,2.47875,3.10217,1.74174,0.00153497,0.00153497,0.00153497
10,345.648,2.12444,2.34031,1.47905,0.42652,0.32251,0.27587,0.11739,2.03584,2.35662,1.53567,0.00151847,0.00151847,0.00151847
11,381.555,2.05297,2.31948,1.46014,0.29995,0.34471,0.25015,0.10378,2.02698,2.27591,1.4922,0.00150197,0.00150197,0.00150197
12,416.414,2.09759,2.23326,1.47865,0.2549,0.43723,0.27613,0.11104,2.03824,2.3063,1.56349,0.00148546,0.00148546,0.00148546
13,449.495,2.1052,2.26662,1.49938,0.23394,0.32838,0.25248,0.10338,2.13291,2.3819,1.59666,0.00146896,0.00146896,0.00146896
14,482.68,2.12689,2.26884,1.48378,0.32136,0.34556,0.2483,0.10511,1.99492,2.36956,1.50697,0.00145246,0.00145246,0.00145246
15,517.266,2.07223,2.21687,1.45996,0.26634,0.30082,0.20317,0.0781,2.1974,2.56024,1.56702,0.00143595,0.00143595,0.00143595
16,551.184,2.08063,2.19592,1.44473,0.35567,0.31155,0.23645,0.10216,2.10003,2.48642,1.55164,0.00141945,0.00141945,0.00141945
17,584.326,2.0576,2.19904,1.45259,0.25004,0.24592,0.15031,0.07278,2.13429,2.84982,1.55292,0.00140295,0.00140295,0.00140295
18,618.171,2.02821,2.19354,1.42767,0.38627,0.35903,0.29526,0.11983,2.12534,2.1914,1.61016,0.00138644,0.00138644,0.00138644
19,653.813,2.02021,2.199,1.44319,0.17906,0.1682,0.07664,0.03499,2.26826,3.77147,1.58214,0.00136994,0.00136994,0.00136994
20,687.991,2.04585,2.19684,1.45267,0.43908,0.38724,0.35634,0.15751,2.02082,2.25284,1.56033,0.00135344,0.00135344,0.00135344
21,722.494,2.0349,2.16889,1.45151,0.39641,0.34046,0.35121,0.15494,2.02848,2.03038,1.55855,0.00133693,0.00133693,0.00133693
22,756.977,2.02161,2.13123,1.42187,0.43015,0.3915,0.35,0.15056,2.05819,2.16192,1.55606,0.00132043,0.00132043,0.00132043
23,791.167,2.01229,2.09847,1.45575,0.43973,0.37641,0.3383,0.15059,1.98929,2.21608,1.50505,0.00130393,0.00130393,0.00130393
24,825.452,2.02393,2.08826,1.44572,0.44567,0.35009,0.35001,0.15769,2.04967,2.31108,1.53688,0.00128742,0.00128742,0.00128742
25,860.661,2.01128,2.10126,1.44776,0.47443,0.38368,0.37846,0.17748,2.00143,2.20217,1.51747,0.00127092,0.00127092,0.00127092
26,896.892,1.96361,2.04994,1.40874,0.41527,0.31713,0.26879,0.11718,2.05936,2.41274,1.52628,0.00125442,0.00125442,0.00125442
27,930.409,2.01233,2.04974,1.42438,0.35983,0.34918,0.31265,0.14733,2.00344,2.30107,1.50888,0.00123791,0.00123791,0.00123791
28,963.504,1.94983,2.01879,1.37835,0.40689,0.33194,0.34505,0.15367,2.05484,2.09452,1.53901,0.00122141,0.00122141,0.00122141
29,996.808,1.9605,1.98056,1.41259,0.45023,0.37809,0.36492,0.16333,1.98827,2.24511,1.51085,0.00120491,0.00120491,0.00120491
30,1030.89,1.94536,1.99946,1.39556,0.43948,0.39239,0.38476,0.18063,1.99713,2.19044,1.48833,0.0011884,0.0011884,0.0011884
31,1065.91,1.96474,2.02122,1.41673,0.53485,0.34604,0.38699,0.17641,1.97508,2.10885,1.49695,0.0011719,0.0011719,0.0011719
32,1098.83,1.9536,1.97215,1.40761,0.45929,0.3429,0.33212,0.15348,2.07612,2.34541,1.56454,0.0011554,0.0011554,0.0011554
33,1132.31,1.92626,1.92089,1.39856,0.38732,0.43864,0.34974,0.1584,2.0477,2.16875,1.53299,0.00113889,0.00113889,0.00113889
34,1166.83,1.95399,1.99131,1.39986,0.50094,0.31916,0.35407,0.17013,1.99782,2.2422,1.49725,0.00112239,0.00112239,0.00112239
35,1201.29,1.90149,1.92202,1.36956,0.54546,0.38355,0.40562,0.17826,2.03039,2.08077,1.51456,0.00110589,0.00110589,0.00110589
36,1235.01,1.91002,2.01386,1.40325,0.49212,0.41293,0.40659,0.17839,2.02232,2.0979,1.52682,0.00108938,0.00108938,0.00108938
37,1269.53,1.92013,1.93106,1.38457,0.42048,0.44323,0.35733,0.16087,2.01322,2.11374,1.51491,0.00107288,0.00107288,0.00107288
38,1304.05,1.93436,1.96647,1.3995,0.3923,0.45182,0.36513,0.16054,2.09839,2.16735,1.54862,0.00105638,0.00105638,0.00105638
39,1341.62,1.87825,1.89186,1.3765,0.50294,0.35142,0.37288,0.1692,2.05358,2.23444,1.53848,0.00103987,0.00103987,0.00103987
40,1377.35,1.95958,1.94703,1.41547,0.47929,0.41542,0.39943,0.18672,2.00847,2.07525,1.52284,0.00102337,0.00102337,0.00102337
41,1412.87,1.87765,1.87175,1.35267,0.45624,0.38377,0.37045,0.15408,2.03853,2.25527,1.54031,0.00100687,0.00100687,0.00100687
42,1447.13,1.87317,1.86445,1.35685,0.4509,0.39575,0.37493,0.16763,2.07264,2.17269,1.56644,0.000990365,0.000990365,0.000990365
43,1481.95,1.87361,1.86032,1.34728,0.48619,0.34695,0.3586,0.16725,1.98455,2.12195,1.52945,0.000973861,0.000973861,0.000973861
44,1516.47,1.88145,1.86889,1.36924,0.5288,0.43251,0.42399,0.17761,2.01334,2.10888,1.51109,0.000957358,0.000957358,0.000957358
45,1549.88,1.86526,1.83057,1.35808,0.5031,0.40834,0.40883,0.16525,2.04803,2.08412,1.52454,0.000940855,0.000940855,0.000940855
46,1583.68,1.82765,1.81031,1.33646,0.47978,0.37942,0.38095,0.16587,2.10037,2.10376,1.56064,0.000924352,0.000924352,0.000924352
47,1618.13,1.83986,1.81838,1.3492,0.47685,0.40357,0.39683,0.16969,2.07926,2.12975,1.55237,0.000907848,0.000907848,0.000907848
48,1651.83,1.84053,1.80245,1.34343,0.50578,0.35467,0.3822,0.16472,2.07143,2.20411,1.54615,0.000891345,0.000891345,0.000891345
49,1685.98,1.82839,1.79076,1.33332,0.47015,0.39524,0.40462,0.17766,2.10176,2.09831,1.57132,0.000874842,0.000874842,0.000874842
50,1719.81,1.89296,1.80034,1.37482,0.49454,0.37459,0.37034,0.17274,2.03195,2.10959,1.53988,0.000858338,0.000858338,0.000858338
51,1754.79,1.84014,1.79653,1.36185,0.41456,0.38611,0.35376,0.15469,2.12244,2.12924,1.58727,0.000841835,0.000841835,0.000841835
52,1788.72,1.83947,1.78717,1.35127,0.53945,0.34083,0.36905,0.17032,2.0461,2.11847,1.5465,0.000825332,0.000825332,0.000825332
53,1821.98,1.82229,1.77744,1.32367,0.49686,0.3989,0.40131,0.18291,2.04117,2.15179,1.5351,0.000808828,0.000808828,0.000808828
54,1855.95,1.82025,1.72204,1.32858,0.43191,0.33082,0.28352,0.13711,2.10584,2.29603,1.56713,0.000792325,0.000792325,0.000792325
55,1891.4,1.79813,1.69844,1.33042,0.55083,0.34695,0.41869,0.17144,2.12372,2.1097,1.57298,0.000775822,0.000775822,0.000775822
