epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8146,2.46839,4.36608,1.69646,0.21784,0.22867,0.1108,0.04175,2.3164,3.55801,1.6446,0.000549129,0.000549129,0.067608
2,75.5822,2.1975,2.59846,1.57747,0.10428,0.28781,0.07346,0.02553,2.28586,19.3879,1.77531,0.00109386,0.00109386,0.0348193
3,109.854,2.2002,2.52778,1.58046,0.07981,0.32789,0.05913,0.02242,2.09909,inf,1.63478,0.00162759,0.00162759,0.00201974
4,144.013,2.14624,2.46617,1.54577,0.28134,0.31986,0.23798,0.08841,2.11088,2.39585,1.54966,0.00161749,0.00161749,0.00161749
5,178.758,2.1716,2.46843,1.56815,0.3121,0.37097,0.22669,0.10133,2.11963,2.34858,1.64588,0.00160099,0.00160099,0.00160099
6,215.678,2.12606,2.51724,1.51984,0.31664,0.28622,0.21474,0.09807,2.09451,2.57825,1.61881,0.00158448,0.00158448,0.00158448
7,249.758,2.0489,2.41317,1.51148,0.27495,0.33529,0.24441,0.10046,2.04356,2.39244,1.61054,0.00156798,0.00156798,0.00156798
8,283.718,2.10049,2.38676,1.50519,0.26615,0.25555,0.13435,0.05579,2.15779,2.73092,1.68724,0.00155148,0.00155148,0.00155148
9,318.37,2.09459,2.35201,1.51901,0.27081,0.28041,0.18709,0.07983,2.05386,2.59493,1.61733,0.00153497,0.00153497,0.00153497
10,353.258,2.1067,2.38719,1.52129,0.34686,0.33082,0.26721,0.10487,2.11875,2.24551,1.61163,0.00151847,0.00151847,0.00151847
11,388.882,2.09682,2.36988,1.49222,0.30055,0.35791,0.23269,0.09259,2.02345,2.34177,1.50769,0.00150197,0.00150197,0.00150197
12,422.927,2.0415,2.2689,1.50737,0.28114,0.38549,0.28343,0.1036,2.07977,2.23731,1.62305,0.00148546,0.00148546,0.00148546
13,458.093,2.01823,2.29224,1.47097,0.23216,0.38682,0.23621,0.09495,2.11158,2.38256,1.62125,0.00146896,0.00146896,0.00146896
