epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2532,2.36358,4.26088,1.59911,0.28828,0.26591,0.15603,0.06209,2.25817,2.87267,1.76397,0.000549129,0.000549129,0.067608
2,68.4087,2.2235,2.4871,1.55017,0.23826,0.3503,0.21621,0.08711,2.13301,2.58761,1.71317,0.00109386,0.00109386,0.0348193
3,105.589,2.24253,2.47681,1.58723,0.2484,0.23795,0.13328,0.04556,2.38117,2.9202,1.80375,0.00162759,0.00162759,0.00201974
4,140.6,2.2001,2.46605,1.54171,0.29765,0.34939,0.20308,0.07813,2.22137,2.4145,1.69494,0.00161749,0.00161749,0.00161749
5,174.81,2.13991,2.34918,1.51914,0.31979,0.34981,0.23839,0.10027,2.06072,2.43206,1.59503,0.00160099,0.00160099,0.00160099
6,212.202,2.16065,2.36412,1.54481,0.30506,0.38827,0.26793,0.11631,2.02183,2.34592,1.569,0.00158448,0.00158448,0.00158448
7,248.502,2.11511,2.358,1.50205,0.20985,0.24459,0.16208,0.06903,2.00395,2.60201,1.55851,0.00156798,0.00156798,0.00156798
8,282.304,2.10745,2.33855,1.50687,0.22109,0.35874,0.21403,0.09694,1.98379,2.37734,1.54649,0.00155148,0.00155148,0.00155148
9,318.118,2.09486,2.33099,1.4757,0.33254,0.2728,0.21433,0.09819,2.04899,2.57558,1.58098,0.00153497,0.00153497,0.00153497
10,353.087,2.08519,2.31232,1.47471,0.34729,0.38388,0.26409,0.10847,2.02074,2.44789,1.57457,0.00151847,0.00151847,0.00151847
11,387.557,2.03471,2.22395,1.46663,0.31108,0.38703,0.25351,0.09834,2.07892,2.13288,1.61426,0.00150197,0.00150197,0.00150197
12,421.583,2.07846,2.21122,1.49469,0.30478,0.30303,0.24217,0.11563,2.0281,2.26534,1.57346,0.00148546,0.00148546,0.00148546
13,457.176,2.0419,2.20791,1.48105,0.27131,0.35861,0.26997,0.11056,2.10456,2.25488,1.62361,0.00146896,0.00146896,0.00146896
14,492.704,2.06516,2.17406,1.47574,0.33495,0.37942,0.29388,0.13357,2.00036,2.19803,1.54705,0.00145246,0.00145246,0.00145246
15,528.743,2.02917,2.17016,1.44857,0.36123,0.3091,0.29285,0.12345,2.00624,2.18872,1.53261,0.00143595,0.00143595,0.00143595
16,564.323,2.01362,2.13922,1.43176,0.37108,0.3536,0.31434,0.1358,2.04968,2.27128,1.55829,0.00141945,0.00141945,0.00141945
17,600.324,2.01779,2.15169,1.43648,0.40533,0.35658,0.30904,0.13689,2.06288,2.22933,1.57154,0.00140295,0.00140295,0.00140295
18,636.319,2.03963,2.13645,1.4428,0.35126,0.34807,0.28365,0.12677,1.93201,2.1929,1.51514,0.00138644,0.00138644,0.00138644
19,671.264,1.98291,2.09249,1.43754,0.45673,0.34046,0.35731,0.15371,2.02756,2.13881,1.55983,0.00136994,0.00136994,0.00136994
20,707.367,2.06262,2.15199,1.45212,0.35969,0.385,0.30487,0.14331,1.93365,2.27962,1.55453,0.00135344,0.00135344,0.00135344
21,740.867,1.99138,2.11268,1.43271,0.48874,0.42236,0.3862,0.16887,2.01237,1.99255,1.54974,0.00133693,0.00133693,0.00133693
