epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0015,2.50189,5.99029,1.80158,0.16937,0.16667,0.09136,0.03855,2.18377,3.03429,1.69388,0.000541775,0.000541775,0.0680418
2,33.428,2.24114,2.63908,1.6566,0.1412,0.29487,0.09648,0.03431,2.4868,3.2346,2.07954,0.00108658,0.00108658,0.0352532
3,48.5657,2.26642,2.73093,1.65702,0.00035,0.10256,0.00029,0.0001,3.10863,5.23871,2.94514,0.00162038,0.00162038,0.00245371
4,65.2292,2.21637,2.49089,1.66754,0.16698,0.31279,0.13929,0.05213,2.28504,4.13614,1.91712,0.00161749,0.00161749,0.00161749
5,80.714,2.12291,2.47069,1.59655,0.3792,0.25139,0.14806,0.06356,2.3519,2.91765,2.00115,0.00160099,0.00160099,0.00160099
6,96.7135,2.15776,2.5065,1.5664,0.24829,0.15385,0.1239,0.04997,2.39369,3.17713,2.06372,0.00158448,0.00158448,0.00158448
7,112.302,2.14967,2.40799,1.61776,0.25316,0.21795,0.18306,0.05906,2.25905,2.69719,1.76322,0.00156798,0.00156798,0.00156798
8,128.504,2.06813,2.36857,1.57392,0.20038,0.15385,0.11272,0.03773,2.6433,2.82326,1.88863,0.00155148,0.00155148,0.00155148
9,144.073,2.12003,2.27873,1.52111,0.35004,0.23077,0.19843,0.0623,2.1932,3.37171,1.82592,0.00153497,0.00153497,0.00153497
10,159.544,2.05287,2.32537,1.54798,0.22903,0.39744,0.17424,0.06453,2.25045,2.37347,1.76345,0.00151847,0.00151847,0.00151847
11,175.032,2.02265,2.29025,1.49546,0.17986,0.32051,0.19515,0.06335,2.26153,2.52136,1.76294,0.00150197,0.00150197,0.00150197
12,190.521,2.10639,2.32586,1.57549,0.2465,0.34615,0.16174,0.0588,2.24668,2.6337,1.75706,0.00148546,0.00148546,0.00148546
