epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4209,2.61408,6.28507,1.79724,0.06362,0.0641,0.0252,0.01181,2.78919,3.61558,1.77283,0.000541775,0.000541775,0.0680418
2,34.2945,2.32265,2.69715,1.59751,0.00058,0.10256,0.00069,0.00011,2.76927,5.9041,2.03234,0.00108658,0.00108658,0.0352532
3,50.3579,2.28615,2.64219,1.60498,0.10792,0.27559,0.11258,0.04055,2.43415,4.71696,1.91752,0.00162038,0.00162038,0.00245371
4,67.5242,2.24806,2.47616,1.60789,0.19574,0.32051,0.16812,0.06252,2.215,3.70642,1.69953,0.00161749,0.00161749,0.00161749
5,84.9625,2.1663,2.47458,1.54438,0.20008,0.34615,0.16176,0.06923,2.11792,2.51665,1.61984,0.00160099,0.00160099,0.00160099
6,103.101,2.11003,2.39605,1.5007,0.27054,0.23077,0.15912,0.05921,2.38726,2.89945,1.77061,0.00158448,0.00158448,0.00158448
7,124.407,2.12793,2.34997,1.5136,0.21744,0.12821,0.11489,0.05596,2.37322,3.52643,1.68479,0.00156798,0.00156798,0.00156798
8,141.205,2.15995,2.30994,1.53691,0.23235,0.24359,0.12214,0.04497,2.31043,2.76312,1.64668,0.00155148,0.00155148,0.00155148
9,158.808,2.15129,2.36304,1.48272,0.28297,0.34615,0.20412,0.09071,2.11355,2.45629,1.59201,0.00153497,0.00153497,0.00153497
10,177.107,2.06805,2.32653,1.46765,0.20942,0.19231,0.13175,0.06344,2.14913,2.87582,1.55317,0.00151847,0.00151847,0.00151847
11,196.146,2.06174,2.30666,1.442,0.2841,0.35468,0.21931,0.09932,2.09096,2.2604,1.6022,0.00150197,0.00150197,0.00150197
12,214.261,2.15756,2.26197,1.55922,0.2216,0.29487,0.18719,0.08493,2.21847,2.44647,1.64076,0.00148546,0.00148546,0.00148546
13,233.295,2.10345,2.21582,1.49386,0.26561,0.28205,0.20252,0.092,2.16337,2.46902,1.60685,0.00146896,0.00146896,0.00146896
14,250.207,2.06599,2.18107,1.44546,0.28101,0.34615,0.19827,0.07979,2.27808,2.38372,1.63918,0.00145246,0.00145246,0.00145246
15,267.942,2.00021,2.1342,1.45858,0.32913,0.39744,0.24674,0.09647,2.06977,2.1383,1.55338,0.00143595,0.00143595,0.00143595
16,285.586,2.0349,2.13268,1.45913,0.24443,0.2335,0.13066,0.05637,2.4186,2.55607,1.6521,0.00141945,0.00141945,0.00141945
17,301.799,2.05703,2.24051,1.45283,0.28666,0.37023,0.22896,0.09031,2.18146,2.23375,1.56654,0.00140295,0.00140295,0.00140295
18,317.704,2.01933,2.11161,1.46899,0.32183,0.29487,0.25371,0.09956,2.22298,2.32261,1.58112,0.00138644,0.00138644,0.00138644
19,335.24,1.99958,2.05601,1.40118,0.28783,0.32051,0.23932,0.09417,2.19952,2.31458,1.60826,0.00136994,0.00136994,0.00136994
20,351.716,1.98924,2.11034,1.43721,0.25814,0.26923,0.19513,0.08531,2.17688,2.41614,1.59693,0.00135344,0.00135344,0.00135344
21,368.946,1.99173,2.11797,1.44408,0.27438,0.38462,0.26193,0.11632,2.12816,2.18812,1.59043,0.00133693,0.00133693,0.00133693
22,385.568,2.00503,2.13019,1.4439,0.28045,0.35897,0.23753,0.10042,2.04869,2.31021,1.59309,0.00132043,0.00132043,0.00132043
23,402.069,1.96513,2.04445,1.42898,0.31258,0.34615,0.29879,0.12756,2.07135,2.16106,1.53945,0.00130393,0.00130393,0.00130393
