epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9154,2.63097,6.21294,1.73755,0.07673,0.08013,0.04278,0.01498,2.46753,3.19249,1.68296,0.000543587,0.000543587,0.0679349
2,49.1942,2.38576,2.85938,1.55878,0.14535,0.19231,0.0664,0.0226,2.36706,3.03879,1.86991,0.00108837,0.00108837,0.0351463
3,70.4146,2.39156,2.74407,1.58406,0.19373,0.11859,0.09077,0.02509,2.62569,3.13282,2.0061,0.00162215,0.00162215,0.00234679
4,91.0378,2.28547,2.66606,1.51675,0.26348,0.28526,0.17394,0.0621,2.29749,2.49023,1.84991,0.00161749,0.00161749,0.00161749
5,114.2,2.23545,2.60854,1.52246,0.14026,0.20192,0.10366,0.0356,2.33578,3.20742,1.75703,0.00160099,0.00160099,0.00160099
6,136.011,2.23006,2.57304,1.52306,0.16575,0.38386,0.12634,0.05164,2.14099,3.54824,1.61065,0.00158448,0.00158448,0.00158448
7,157.633,2.21462,2.56265,1.51625,0.36311,0.30887,0.27378,0.0962,2.2273,2.33244,1.76669,0.00156798,0.00156798,0.00156798
8,178.653,2.22023,2.47191,1.54923,0.31561,0.35577,0.2479,0.08766,2.1187,2.37643,1.67128,0.00155148,0.00155148,0.00155148
9,197.765,2.11859,2.34395,1.4741,0.04638,0.04623,0.02009,0.00762,2.44076,4.49277,1.8138,0.00153497,0.00153497,0.00153497
10,218.835,2.10823,2.37687,1.44744,0.27205,0.32692,0.23104,0.10243,2.27754,2.42989,1.66023,0.00151847,0.00151847,0.00151847
11,239.551,2.18671,2.41802,1.50197,0.36309,0.38812,0.2977,0.12352,2.14723,2.12401,1.63816,0.00150197,0.00150197,0.00150197
12,261.08,2.1277,2.34082,1.48442,0.29252,0.39103,0.2596,0.11155,2.11214,2.34026,1.62567,0.00148546,0.00148546,0.00148546
13,282.402,2.17884,2.47502,1.48553,0.3152,0.3141,0.28797,0.12186,2.05704,2.19713,1.61796,0.00146896,0.00146896,0.00146896
14,302.799,2.12041,2.42599,1.47581,0.29658,0.36859,0.29717,0.12529,2.0498,2.25376,1.60312,0.00145246,0.00145246,0.00145246
15,324.094,2.14187,2.3512,1.4878,0.28777,0.4359,0.30352,0.11879,2.06878,2.06505,1.6501,0.00143595,0.00143595,0.00143595
16,344.304,2.10098,2.33351,1.44069,0.31569,0.375,0.2743,0.12118,2.08815,2.12153,1.64263,0.00141945,0.00141945,0.00141945
17,362.315,2.03619,2.2441,1.42632,0.16153,0.31481,0.17559,0.07773,2.20122,2.41843,1.65311,0.00140295,0.00140295,0.00140295
18,382.244,2.07717,2.38236,1.45664,0.33008,0.34001,0.30079,0.12357,2.01092,2.12777,1.57339,0.00138644,0.00138644,0.00138644
19,401.199,2.06958,2.26732,1.44292,0.40573,0.35256,0.35034,0.1496,2.10801,2.09003,1.61257,0.00136994,0.00136994,0.00136994
20,419.673,2.0939,2.31335,1.45515,0.24634,0.36538,0.29795,0.11174,2.06993,2.21999,1.59271,0.00135344,0.00135344,0.00135344
21,437.856,2.10056,2.24362,1.44144,0.37217,0.37179,0.3205,0.1307,2.10837,2.06844,1.62505,0.00133693,0.00133693,0.00133693
22,460.083,2.09918,2.31256,1.46629,0.32786,0.42385,0.31706,0.13378,2.10011,2.07459,1.60617,0.00132043,0.00132043,0.00132043
23,479.299,2.04506,2.19022,1.40672,0.27182,0.44872,0.34057,0.13556,2.02422,2.08623,1.56311,0.00130393,0.00130393,0.00130393
24,499.297,2.01244,2.22502,1.40063,0.13434,0.28205,0.14197,0.05846,2.28966,2.81981,1.65745,0.00128742,0.00128742,0.00128742
25,520.202,2.01537,2.28294,1.40565,0.29447,0.34936,0.2697,0.11909,2.13702,2.18603,1.64128,0.00127092,0.00127092,0.00127092
26,538.475,2.04255,2.22296,1.39667,0.34811,0.28477,0.28731,0.1355,1.99332,2.17429,1.54274,0.00125442,0.00125442,0.00125442
27,557.067,1.98729,2.14843,1.38261,0.45336,0.3141,0.33017,0.14037,2.08911,1.95816,1.6562,0.00123791,0.00123791,0.00123791
28,575.517,1.98604,2.10734,1.38892,0.49079,0.34615,0.36116,0.14378,2.10143,2.10395,1.61146,0.00122141,0.00122141,0.00122141
29,595.38,1.93498,2.06403,1.40119,0.38233,0.36859,0.34952,0.14307,2.07671,2.09361,1.59473,0.00120491,0.00120491,0.00120491
30,614.609,1.96059,2.11136,1.38138,0.33709,0.47065,0.34945,0.13632,2.10833,2.08875,1.61409,0.0011884,0.0011884,0.0011884
31,632.752,1.93942,2.0483,1.37053,0.38447,0.38756,0.34767,0.14454,2.09671,1.99132,1.65879,0.0011719,0.0011719,0.0011719
32,653.542,2.00138,2.10585,1.41334,0.40567,0.40021,0.4011,0.17219,1.95345,1.89133,1.52181,0.0011554,0.0011554,0.0011554
33,674.04,1.95863,2.11325,1.37479,0.48281,0.35742,0.34208,0.14469,2.01504,2.04973,1.5204,0.00113889,0.00113889,0.00113889
34,693.627,1.94452,2.16031,1.38415,0.40934,0.36149,0.3596,0.16295,2.01141,2.03775,1.55503,0.00112239,0.00112239,0.00112239
35,714.208,1.94573,2.07651,1.3676,0.36806,0.45651,0.31023,0.11889,2.13941,2.15413,1.63874,0.00110589,0.00110589,0.00110589
36,733.451,1.97203,2.09257,1.42142,0.44589,0.33576,0.32956,0.13305,2.21877,2.04972,1.6591,0.00108938,0.00108938,0.00108938
37,751.815,1.91268,1.99857,1.3517,0.44615,0.38355,0.37358,0.15675,2.00605,2.07484,1.57286,0.00107288,0.00107288,0.00107288
38,770.591,1.89805,2.07209,1.37397,0.54724,0.29167,0.33143,0.13078,2.14931,2.08649,1.60202,0.00105638,0.00105638,0.00105638
39,789.063,1.89569,1.99872,1.34773,0.34008,0.41476,0.29382,0.10543,2.21877,2.20866,1.61603,0.00103987,0.00103987,0.00103987
40,808.223,1.97609,2.0155,1.39978,0.38401,0.42584,0.37001,0.15263,2.15304,1.96393,1.61167,0.00102337,0.00102337,0.00102337
41,827.801,1.93789,1.9997,1.3636,0.41619,0.37179,0.34481,0.14732,2.11143,2.02032,1.60573,0.00100687,0.00100687,0.00100687
42,846.118,1.92801,1.98279,1.37511,0.41274,0.32051,0.33045,0.14271,1.99862,2.01858,1.55759,0.000990365,0.000990365,0.000990365
43,867.533,1.90372,1.99269,1.35251,0.43522,0.38462,0.37984,0.1642,2.07695,2.01666,1.61435,0.000973861,0.000973861,0.000973861
44,887.082,1.92074,1.9407,1.37542,0.50901,0.43855,0.39263,0.15383,2.05824,2.00466,1.59039,0.000957358,0.000957358,0.000957358
45,906.403,1.82948,1.86408,1.33411,0.47967,0.37087,0.33917,0.1348,2.20383,2.20147,1.66418,0.000940855,0.000940855,0.000940855
46,925.027,1.87205,1.83571,1.36892,0.4602,0.44551,0.42236,0.1877,2.00352,1.91544,1.54289,0.000924352,0.000924352,0.000924352
47,945.191,1.85496,1.90111,1.32838,0.4047,0.4359,0.38684,0.1541,2.10558,1.99833,1.60243,0.000907848,0.000907848,0.000907848
48,965.139,1.78763,1.80532,1.30955,0.35255,0.36538,0.34144,0.14138,2.14703,2.09005,1.64722,0.000891345,0.000891345,0.000891345
49,983.366,1.82247,1.84348,1.33416,0.51917,0.26923,0.31672,0.13373,2.18151,2.0379,1.654,0.000874842,0.000874842,0.000874842
50,1001.5,1.8408,1.85041,1.31973,0.3487,0.375,0.33148,0.15295,1.99689,2.00844,1.55217,0.000858338,0.000858338,0.000858338
51,1020.72,1.83952,1.81543,1.34734,0.43559,0.38782,0.35009,0.14204,2.10114,2.06883,1.59889,0.000841835,0.000841835,0.000841835
52,1040,1.84137,1.8471,1.33726,0.40413,0.34611,0.32686,0.12349,2.12492,2.13759,1.61426,0.000825332,0.000825332,0.000825332
53,1058.33,1.75667,1.7789,1.28839,0.4127,0.43469,0.37656,0.14802,2.16241,2.18226,1.65256,0.000808828,0.000808828,0.000808828
54,1076.66,1.80612,1.7464,1.29611,0.41307,0.45192,0.37345,0.16006,2.12713,1.96055,1.65821,0.000792325,0.000792325,0.000792325
55,1097.78,1.77229,1.77304,1.30983,0.48083,0.41346,0.37761,0.15378,2.10684,2.00799,1.64056,0.000775822,0.000775822,0.000775822
56,1117.86,1.76868,1.81144,1.27627,0.29719,0.44231,0.31423,0.10942,2.16569,2.23015,1.61407,0.000759318,0.000759318,0.000759318
57,1135.51,1.78411,1.73514,1.32647,0.36202,0.38782,0.34546,0.15149,2.13622,2.06076,1.6305,0.000742815,0.000742815,0.000742815
58,1154.53,1.7622,1.72786,1.29638,0.41997,0.38462,0.32908,0.1382,2.21224,2.09277,1.71855,0.000726312,0.000726312,0.000726312
59,1174.73,1.75866,1.70393,1.29845,0.38533,0.53568,0.39188,0.1638,2.13398,1.96621,1.66106,0.000709809,0.000709809,0.000709809
60,1193.02,1.7459,1.67509,1.284,0.34621,0.4391,0.35227,0.1452,2.13175,1.97883,1.66059,0.000693305,0.000693305,0.000693305
61,1212.72,1.76851,1.69987,1.30318,0.3369,0.46473,0.33707,0.13728,2.22333,2.01814,1.71341,0.000676802,0.000676802,0.000676802
