epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1212,2.54235,5.95304,1.68984,0.00584,0.06731,0.00356,0.00155,2.50746,148.971,1.58415,0.000543587,0.000543587,0.0679349
2,40.6061,2.24498,2.73128,1.55801,0.08304,0.16026,0.04032,0.0123,2.42296,4.82595,2.34713,0.00108837,0.00108837,0.0351463
3,59.7586,2.32464,2.69787,1.62592,0.13618,0.16921,0.10397,0.03373,2.24905,2.83499,1.93969,0.00162215,0.00162215,0.00234679
4,80.3357,2.23098,2.64076,1.60438,0.16449,0.28403,0.16289,0.06252,2.21602,3.43793,1.94665,0.00161749,0.00161749,0.00161749
5,105.116,2.2651,2.55959,1.58305,0.19939,0.09083,0.10953,0.04402,2.2792,3.26582,1.80185,0.00160099,0.00160099,0.00160099
6,128.558,2.14775,2.52186,1.54739,0.24864,0.28526,0.18548,0.06197,2.31982,2.75065,1.99324,0.00158448,0.00158448,0.00158448
7,148.974,2.24017,2.63943,1.59422,0.1984,0.28846,0.18656,0.07111,2.20324,2.6033,1.73744,0.00156798,0.00156798,0.00156798
8,168.701,2.13555,2.49472,1.54807,0.17529,0.33333,0.18768,0.08491,2.05556,2.56521,1.72403,0.00155148,0.00155148,0.00155148
9,188.969,2.17319,2.49803,1.55573,0.18727,0.2585,0.14594,0.06075,2.14929,2.68858,1.64865,0.00153497,0.00153497,0.00153497
10,211.728,2.08151,2.48774,1.49126,0.23391,0.21795,0.14562,0.06341,2.23348,2.72919,1.77527,0.00151847,0.00151847,0.00151847
11,230.253,2.09463,2.45177,1.52561,0.19651,0.31715,0.23734,0.10186,2.07241,2.22911,1.70902,0.00150197,0.00150197,0.00150197
12,250.741,2.121,2.41883,1.5155,0.04443,0.50641,0.09747,0.04023,2.19413,3.46437,1.81176,0.00148546,0.00148546,0.00148546
13,273.648,2.09476,2.42742,1.49283,0.23738,0.33333,0.21618,0.10163,2.05498,2.26378,1.65152,0.00146896,0.00146896,0.00146896
14,292.577,2.15879,2.4314,1.53146,0.26799,0.34619,0.24967,0.09646,2.06369,2.32081,1.67204,0.00145246,0.00145246,0.00145246
15,312.298,2.05596,2.37316,1.48266,0.34863,0.42628,0.28524,0.10608,2.071,2.12471,1.66548,0.00143595,0.00143595,0.00143595
16,332.927,2.03351,2.2496,1.46009,0.28952,0.38461,0.25304,0.10393,2.18334,2.3061,1.80074,0.00141945,0.00141945,0.00141945
17,353.654,2.06111,2.29723,1.50128,0.34867,0.35256,0.2967,0.13369,2.13357,2.18133,1.72261,0.00140295,0.00140295,0.00140295
18,376.545,2.02816,2.3013,1.46899,0.33459,0.35256,0.27225,0.1176,2.19173,2.30387,1.73172,0.00138644,0.00138644,0.00138644
19,398.284,2.08131,2.33368,1.52534,0.08352,0.32692,0.06939,0.02841,2.07804,2.94421,1.67573,0.00136994,0.00136994,0.00136994
20,416.345,2.04821,2.29997,1.50886,0.36699,0.34615,0.31189,0.13012,1.99124,2.02804,1.67186,0.00135344,0.00135344,0.00135344
