epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1977,2.54915,5.91482,1.76984,0.16419,0.14423,0.08594,0.03539,2.32323,3.80408,1.6186,0.000543587,0.000543587,0.0679349
2,40.1127,2.3032,2.76925,1.55393,0.19588,0.27244,0.14004,0.04678,2.30139,4.95302,1.88647,0.00108837,0.00108837,0.0351463
3,60.5143,2.3123,2.67177,1.55783,0.26996,0.26282,0.19321,0.0673,2.24708,2.4682,1.88961,0.00162215,0.00162215,0.00234679
4,82.161,2.2347,2.70036,1.51049,0.37781,0.26923,0.24354,0.10672,2.06035,2.68102,1.71117,0.00161749,0.00161749,0.00161749
5,107.295,2.19196,2.57116,1.52693,0.31477,0.33013,0.21807,0.07754,2.22013,2.42813,1.75262,0.00160099,0.00160099,0.00160099
6,129.711,2.16936,2.55096,1.49782,0.14923,0.27564,0.08723,0.03408,2.16424,2.59231,1.72719,0.00158448,0.00158448,0.00158448
7,151.654,2.19915,2.52157,1.5051,0.17688,0.33654,0.15929,0.07163,2.04051,2.49482,1.68283,0.00156798,0.00156798,0.00156798
8,168.946,2.16363,2.47569,1.51728,0.23988,0.39103,0.28068,0.11332,2.16896,2.28966,1.70461,0.00155148,0.00155148,0.00155148
9,189.498,2.12009,2.38783,1.47417,0.25843,0.33013,0.21584,0.08774,2.13684,2.28698,1.68384,0.00153497,0.00153497,0.00153497
10,209.156,2.11275,2.36499,1.44169,0.25833,0.31731,0.23513,0.09226,2.17929,2.43316,1.68881,0.00151847,0.00151847,0.00151847
11,229.377,2.07151,2.3968,1.44337,0.27729,0.39348,0.236,0.09312,1.99422,2.0441,1.59367,0.00150197,0.00150197,0.00150197
12,246.734,2.08356,2.33602,1.45273,0.31014,0.32051,0.29971,0.13295,2.02504,2.14555,1.64193,0.00148546,0.00148546,0.00148546
13,268.395,2.09433,2.39168,1.45726,0.16859,0.35897,0.18605,0.07772,2.10982,2.3181,1.67921,0.00146896,0.00146896,0.00146896
14,289.635,2.06048,2.41528,1.44637,0.34185,0.36559,0.26514,0.11566,2.02426,2.25234,1.61817,0.00145246,0.00145246,0.00145246
15,310.169,2.09475,2.3616,1.46844,0.27171,0.28205,0.25443,0.1034,2.05241,2.21034,1.62036,0.00143595,0.00143595,0.00143595
16,330.918,2.0673,2.32526,1.4325,0.70221,0.20192,0.24876,0.10529,2.01435,2.27664,1.63152,0.00141945,0.00141945,0.00141945
17,352.146,1.99751,2.23735,1.41304,0.29836,0.41987,0.33368,0.12777,2.05849,2.03574,1.63624,0.00140295,0.00140295,0.00140295
18,371.226,2.02864,2.34962,1.43258,0.32614,0.40427,0.32393,0.12418,2.04431,2.09866,1.66343,0.00138644,0.00138644,0.00138644
19,389.404,2.04081,2.26073,1.43259,0.34935,0.36218,0.2814,0.11768,2.05945,2.20547,1.6505,0.00136994,0.00136994,0.00136994
20,409.92,2.03303,2.29829,1.44266,0.37524,0.32239,0.30461,0.12841,1.99354,2.11001,1.59677,0.00135344,0.00135344,0.00135344
21,429.808,2.05733,2.18836,1.4027,0.32196,0.32692,0.28339,0.12561,2.0427,2.11587,1.62552,0.00133693,0.00133693,0.00133693
22,448.867,2.07949,2.27702,1.43936,0.30165,0.3141,0.27213,0.11278,2.09413,2.2644,1.6433,0.00132043,0.00132043,0.00132043
23,468.195,1.99955,2.21186,1.3874,0.37908,0.41667,0.32176,0.14129,2.02815,2.10553,1.61139,0.00130393,0.00130393,0.00130393
24,490.264,1.98831,2.21276,1.4029,0.34023,0.39744,0.31606,0.14,1.98567,2.23846,1.57505,0.00128742,0.00128742,0.00128742
25,512.122,1.95326,2.14509,1.38379,0.34598,0.45192,0.33341,0.13797,1.92655,1.98581,1.56311,0.00127092,0.00127092,0.00127092
26,530.937,2.02486,2.17438,1.40381,0.35495,0.41987,0.33117,0.13974,2.00791,2.04445,1.60274,0.00125442,0.00125442,0.00125442
27,550.624,1.92898,2.14489,1.35426,0.3721,0.41026,0.32536,0.14865,1.96604,2.12162,1.5874,0.00123791,0.00123791,0.00123791
28,571.572,1.91761,2.11172,1.34968,0.289,0.36538,0.25689,0.10449,1.99625,2.2423,1.59365,0.00122141,0.00122141,0.00122141
29,590.3,1.90181,2.07025,1.37071,0.41151,0.39744,0.37827,0.16931,2.00559,1.93041,1.57938,0.00120491,0.00120491,0.00120491
30,611.157,2.01115,2.09486,1.38267,0.40523,0.44395,0.41173,0.17461,1.96645,1.9211,1.58651,0.0011884,0.0011884,0.0011884
31,631.817,1.96365,2.10408,1.36643,0.42373,0.47436,0.3934,0.16767,2.00081,2.04895,1.59218,0.0011719,0.0011719,0.0011719
32,651.643,1.93112,2.13719,1.37666,0.40466,0.48397,0.41051,0.18158,1.92647,1.95719,1.57903,0.0011554,0.0011554,0.0011554
33,674.268,1.89565,2.01205,1.34472,0.39845,0.35897,0.33348,0.14047,1.99771,2.06145,1.57585,0.00113889,0.00113889,0.00113889
34,694.788,1.91194,2.0705,1.37044,0.37636,0.39744,0.34812,0.15055,1.96057,2.02491,1.5607,0.00112239,0.00112239,0.00112239
35,712.245,1.88893,2.04735,1.33173,0.49336,0.46474,0.4109,0.18021,2.05975,1.92871,1.61121,0.00110589,0.00110589,0.00110589
36,731.096,1.94572,2.08978,1.38946,0.45186,0.41652,0.42451,0.16631,2.00312,1.97348,1.57937,0.00108938,0.00108938,0.00108938
37,749.328,1.89311,1.98272,1.34198,0.37283,0.45192,0.39981,0.18493,1.95483,1.89857,1.57509,0.00107288,0.00107288,0.00107288
38,770.204,1.86347,1.99635,1.35471,0.30653,0.36726,0.31783,0.13873,1.99339,2.03864,1.59192,0.00105638,0.00105638,0.00105638
39,788.496,1.90312,2.05667,1.33739,0.44028,0.38462,0.37504,0.15036,1.97629,2.03007,1.59018,0.00103987,0.00103987,0.00103987
40,807.097,1.92475,1.96815,1.35439,0.3964,0.3443,0.35881,0.15447,2.02056,1.95662,1.58212,0.00102337,0.00102337,0.00102337
41,829.388,1.85685,1.98106,1.31924,0.40818,0.45615,0.37566,0.17055,1.96948,1.89965,1.5649,0.00100687,0.00100687,0.00100687
42,848.885,1.88378,1.97007,1.3519,0.43998,0.41346,0.39163,0.17158,1.9218,1.96328,1.56931,0.000990365,0.000990365,0.000990365
43,867.765,1.87849,1.99988,1.32718,0.39558,0.46031,0.37324,0.14045,2.06584,2.14518,1.65954,0.000973861,0.000973861,0.000973861
44,886.335,1.86026,1.94456,1.34069,0.47533,0.40705,0.38498,0.1806,1.97524,1.92522,1.56694,0.000957358,0.000957358,0.000957358
45,905.216,1.8173,1.8578,1.30914,0.47184,0.42628,0.41894,0.19495,1.95986,1.8871,1.59191,0.000940855,0.000940855,0.000940855
46,927.036,1.83578,1.87146,1.34159,0.56509,0.42628,0.46312,0.22056,1.93571,1.82764,1.58205,0.000924352,0.000924352,0.000924352
47,947.242,1.82521,1.90174,1.30651,0.44148,0.43546,0.37374,0.16198,1.9464,1.91168,1.57122,0.000907848,0.000907848,0.000907848
48,971.882,1.79138,1.84063,1.30208,0.42576,0.42949,0.38231,0.17006,2.02516,1.9365,1.60885,0.000891345,0.000891345,0.000891345
49,990.778,1.77466,1.78798,1.29765,0.52633,0.47272,0.43313,0.18694,2.00957,1.86814,1.61707,0.000874842,0.000874842,0.000874842
50,1010.11,1.80264,1.82213,1.29206,0.4751,0.38518,0.36334,0.17046,1.97976,1.93852,1.6265,0.000858338,0.000858338,0.000858338
51,1028.66,1.80181,1.81921,1.31057,0.46696,0.3292,0.36329,0.15469,2.05707,2.06564,1.62542,0.000841835,0.000841835,0.000841835
52,1048.59,1.81328,1.81328,1.31555,0.42056,0.42509,0.36022,0.1668,1.97287,1.92091,1.55673,0.000825332,0.000825332,0.000825332
53,1067.87,1.73479,1.77123,1.26915,0.40594,0.49038,0.40196,0.1788,2.02585,1.87011,1.59357,0.000808828,0.000808828,0.000808828
54,1087.09,1.78378,1.79402,1.27523,0.38968,0.40064,0.32381,0.13331,2.08247,2.10693,1.65005,0.000792325,0.000792325,0.000792325
55,1105.46,1.68888,1.7331,1.26351,0.41372,0.375,0.34688,0.12758,2.12722,1.97821,1.64996,0.000775822,0.000775822,0.000775822
56,1125.17,1.78393,1.79552,1.27779,0.51083,0.43783,0.40104,0.17148,2.00253,1.86935,1.58774,0.000759318,0.000759318,0.000759318
57,1147.07,1.74645,1.7264,1.30859,0.3946,0.38488,0.35421,0.15038,2.06915,1.9321,1.62831,0.000742815,0.000742815,0.000742815
58,1166.92,1.76217,1.71021,1.2799,0.44238,0.35237,0.34969,0.15837,2.125,2.02711,1.66647,0.000726312,0.000726312,0.000726312
59,1186.59,1.76389,1.73183,1.29493,0.39322,0.43416,0.40493,0.19054,2.03036,1.91241,1.59813,0.000709809,0.000709809,0.000709809
60,1208.31,1.71268,1.71464,1.26235,0.38544,0.41346,0.34227,0.16627,2.05408,2.01429,1.63427,0.000693305,0.000693305,0.000693305
61,1225.73,1.72469,1.64998,1.27064,0.41165,0.45373,0.40261,0.18555,2.03156,1.9161,1.60277,0.000676802,0.000676802,0.000676802
